ingredient_id,name,average,max,min
1,디클로로메탄,0,0,0
2,에틸톨루엔,0,0,0
3,헥산,0.127,1.401,0
4,트리메틸벤젠,0.002,0.146,0
5,클로로포름,0.025,0.387,0
6,데칸,0.207,4.419,0
7,벤젠,0.006,0.056,0
8,피넨,0.040,0.349,0
9,트리클로로에틸렌,0,0,0
10,에틸톨루엔,0,0,0
11,톨루엔,0.679,10.939,0
12,트리메틸벤젠,0,0,0
13,테트라클로로에틸렌,0,0,0
14,부틸벤젠,0,0,0
15,에틸벤젠,0.046,0.841,0
16,리모넨,0.731,2.548,0
17,자일렌,0.102,1.632,0
18,시멘,0.001,0.055,0
19,스티렌,1.598,6.493,0.143
20,디클로로벤젠,0,0,0
21,프로판올,0.027,0.795,0
22,트리메틸벤젠,0,0,0
23,디메틸펜탄,0,0,0
24,부틸벤젠,0,0,0
25,부타논,0.155,2.475,0
26,디클로로벤젠,0,0,0
27,에틸아세테이트,0.025,1.499,0
28,운데칸,0.433,4.897,0.055
29,사염화탄소,0,0,0
30,노나날,1.001,11.731,0
31,디클로로에탄,0,0,0
32,테트라메틸벤젠,0,0,0
33,이소옥탄,0.009,0.349,0
34,도데칸,1.965,26.033,0
35,디클로로프로판,0,0,0
36,데카날,1.032,7.017,0
37,브로모디클로로메탄,0,0,0
38,헥사클로로부타디엔,0,0,0
39,펜타논,0.001,0.09,0
40,나프탈렌,0.024,1.381,0
41,옥탄,0.075,0.629,0
42,트리클로로벤젠,0,0,0
43,트리클로로에탄,0,0,0
44,트리데칸,2.320,23.097,0.496
45,디클로로프로판,0,0,0
46,테트라데칸,9.710,50.749,1.67
47,부틸아세테이트,0.126,1.013,0
48,펜타데칸,4.831,22.963,0.727
49,클로로벤젠,0.006,0.369,0
50,헥사데칸,15.192,67.136,2.402
51,노난,0.246,1.815,0
52,에탄올,2.139,43.712,0
53,피넨,0.312,2.534,0
54,아세톤,0.269,8.191,0
55,쿠멘,0.001,0.036,0
56,프로판올,0.007,0.448,0
57,프로필벤젠,0.001,0.04,0
58,헵탄,1.975,52.459,0
59,에틸톨루엔,0.003,0.066,0
60,부탄올,0.175,1.445,0
