0,시크릿데이,시크릿데이 샬롯 팬티라이너 롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfMzMg/MDAxNjE2NDk2MDI0NzIz.KfrEO7AEeY1IzoidKIFRA9Dg2LFvRd-Dv7J4Uk33IWkg.GI_QOQZIF8Aqgjek6PUNm6F1xgfd3OjqEpAEKlbu28kg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.136', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.16', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['에틸벤젠', 'ethylbenzene', '0.089', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.149', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.288', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.096', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.216', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.497', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.345', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.217', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.625', ['']]","['노나날', 'Nonanal', '0.12', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.474', ['']]","['데카날', 'Decanal', '0.273', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '1.964', ['']]","['테트라데칸', 'Tetradecanen', '3.063', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.806', ['']]","['n-헥사데칸', 'n-Hexadecane', '3.814', ['']]","['에탄올', 'ethanol', '0.561', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.4', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,
1,시크릿데이,시크릿데이 울트라슬림 코튼 중형 비,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjQy/MDAxNjE2NDk1NTEzMDk2.xzaeYi10rRhRmJxdwy6rtcibQmNEEd9dDiLxMY4V7rgg.bzpoNOrEirS51tnYe_SxAwEMbRa5JxsyGzxeWHP550Ig.PNG/image.png?type=w1200,"['클로로포름', 'Chloroform', '0.268', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['톨루엔', 'Toluene', '0.241', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.069', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.428', ['눈 자극', '어지럼증', '졸음']]","['노난', 'nonane', '0.188', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '1.47', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.642', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.123', ['']]","['도데칸', 'Dodecane', '4.49', ['']]","['데카날', 'Decanal', '2.14', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '2.831', ['']]","['테트라데칸', 'Tetradecanen', '4.383', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.448', ['']]","['n-헥사데칸', 'n-Hexadecane', '7.619', ['']]","['에탄올', 'ethanol', '3.806', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.716', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,
2,시크릿데이,시크릿데이 울트라슬림 중형 에이,https://post-phinf.pstatic.net/MjAyMTAzMjNfNzEg/MDAxNjE2NDk1MDkwOTk4.R0LhiFxnTt98aFY1_PfiZ1hsRc2UqptcD8coe0qjOpMg.g86pbn7cCQHV1kxkSdUM4fAiMCc56LRMLuLSSzKnPB8g.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.436', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['클로로포름', 'Chloroform', '0.192', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['톨루엔', 'Toluene', '0.548', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.69', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.357', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.629', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.797', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '2.551', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.211', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '2.115', ['']]","['노나날', 'Nonanal', '0.249', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '7.26', ['']]","['데카날', 'Decanal', '2.309', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '3.85', ['']]","['테트라데칸', 'Tetradecanen', '8.618', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.51', ['']]","['n-헥사데칸', 'n-Hexadecane', '8.843', ['']]","['에탄올', 'ethanol', '3.27', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.545', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.09', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,
3,오씨본,오씨본 울트라슬림 생리대 오버나이트,https://post-phinf.pstatic.net/MjAyMTAzMjNfNjUg/MDAxNjE2NDk0NjczMDU5.t6w3hBZv3cKoC6witiob5U22D2ZqK_D-6Cu0PdINaPQg.g4onaD70mxXkYlk7TPziRXX_mIxT-EcZmsfFEZjgcfcg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.262', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.262', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['부틸아세테이트', 'Butyl Acetate', '0.744', ['어지럼증', '졸음']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '2.534', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.349', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.437', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.262', ['']]","['노나날', 'Nonanal', '2.694', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.349', ['']]","['데카날', 'Decanal', '1.779', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '6.529', ['']]","['테트라데칸', 'Tetradecanen', '32.657', ['']]","['n-펜타데칸', 'n-Pentadecane', '12.825', ['']]","['n-헥사데칸', 'n-Hexadecane', '27.164', ['']]","['에탄올', 'ethanol', '3.498', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['헵탄', 'Heptane', '52.459', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,
4,오씨본,오씨본 울트라슬림 생리대 대형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjQ0/MDAxNjE2NDg0NjYzNzc2.kKZCYGUeQfc9qUVPL_h8R-_G3RDZqBjl3QGpxGL_bjog.Q6ko3sVX5lZ7a7mZ2Wern8hBya1yB6ExBSdA_yxhu4Qg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.210', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.539', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.522', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['이소옥탄', 'Iso-Octane', '0.349', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['부틸아세테이트', 'Butyl Acetate', '0.736', ['어지럼증', '졸음']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '2.088', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.279', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.419', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.522', ['']]","['노나날', 'Nonanal', '2.256', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.546', ['']]","['데카날', 'Decanal', '0.378', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '2.642', ['']]","['테트라데칸', 'Tetradecanen', '11.062', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.679', ['']]","['n-헥사데칸', 'n-Hexadecane', '21.889', ['']]","['에탄올', 'ethanol', '43.712', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['헵탄', 'Heptane', '46.239', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.445', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,
5,오씨본,오씨본 울트라슬림 생리대 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjY3/MDAxNjE2NDg0MjQwNTA0.VXn1bMgZkgLhX_BDpATiThItvrG5N_G5RY8i-zIFgwMg.-jbaLnHkrsWf1MpJOydiwnmwIhNyA05pgChYsPYog28g.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.108', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.242', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.270', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.539', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['이소옥탄', 'Iso-Octane', '0.216', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['옥탄', 'octane', '0.187', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['부틸아세테이트', 'Butyl Acetate', '0.593', ['어지럼증', '졸음']]","['노난', 'nonane', '0.108', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '1.720', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.216', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.565', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.673', ['']]","['노나날', 'Nonanal', '2.310', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.670', ['']]","['데카날', 'Decanal', '0.981', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '4.696', ['']]","['테트라데칸', 'Tetradecanen', '12.714', ['']]","['n-펜타데칸', 'n-Pentadecane', '4.246', ['']]","['n-헥사데칸', 'n-Hexadecane', '16.507', ['']]","['에탄올', 'ethanol', '24.789', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['헵탄', 'Heptane', '23.748', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '0.539', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,
6,르프레시,르프레시 중형 날개,https://post-phinf.pstatic.net/MjAyMTAzMjNfNTAg/MDAxNjE2NDgzNDM0ODc3.bBgYYra2ysCgu0H8pCRLmXQA_OiLtNW-Kzg0Wt1I-kYg.mcnYuaRIB39pS4PM5nCbEGdCYNxPh1M28rt2iVQlptsg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '1.086', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.571', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '1.456', ['눈 자극', '어지럼증', '졸음']]","['부틸아세테이트', 'Butyl Acetate', '0.817', ['어지럼증', '졸음']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '2.236', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.304', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.545', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.372', ['']]","['노나날', 'Nonanal', '0.53', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.41', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '3.079', ['']]","['테트라데칸', 'Tetradecanen', '7.106', ['']]","['n-펜타데칸', 'n-Pentadecane', '6.947', ['']]","['n-헥사데칸', 'n-Hexadecane', '10.639', ['']]","['에탄올', 'ethanol', '1.742', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['1-부탄올', '1-butanol', '0.699', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,
7,라엘,라엘 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfNzUg/MDAxNjE2NDgzMDIwMzA1.NU_4bNqXQ7m4JhdsZCyPZfXalLIAg4okk-1BarvzF1sg.ojDuW7U1LACTr01yP2lGnL06e7qn1RvbsFaGG9qucEog.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.219', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '1.103', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.345', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.758', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '1.243', ['눈 자극', '어지럼증', '졸음']]","['부틸아세테이트', 'Butyl Acetate', '0.724', ['어지럼증', '졸음']]","['노난', 'nonane', '0.408', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '2.011', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['1,2,4-트리메틸벤젠', '1,2,4-Trimethylbenzene', '0.146', ['']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.253', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.006', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.408', ['']]","['노나날', 'Nonanal', '0.529', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.087', ['']]","['데카날', 'Decanal', '1.282', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '3.322', ['']]","['테트라데칸', 'Tetradecanen', '6.338', ['']]","['n-펜타데칸', 'n-Pentadecane', '8.238', ['']]","['n-헥사데칸', 'n-Hexadecane', '11.545', ['']]","['에탄올', 'ethanol', '1.296', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['1-부탄올', '1-butanol', '1.296', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,
8,잇츠미슬림,잇츠미슬림 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTI4/MDAxNjE2NDgyNTEwMDIz.JBLEIrvD85mFzUcASTTVc7Y1OT6-uB0bQzrQzMIjrrAg.GVoJwLfrCpjbVAlIvVSkciHGMPEM1orkDulOjPtFr20g.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.137', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.85', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.205', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.223', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '1.417', ['눈 자극', '어지럼증', '졸음']]","['부틸아세테이트', 'Butyl Acetate', '0.819', ['어지럼증', '졸음']]","['노난', 'nonane', '0.205', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '2.293', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.341', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.782', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.441', ['']]","['노나날', 'Nonanal', '1.547', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.662', ['']]","['데카날', 'Decanal', '0.803', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '2.456', ['']]","['테트라데칸', 'Tetradecanen', '7.45', ['']]","['n-펜타데칸', 'n-Pentadecane', '4.402', ['']]","['n-헥사데칸', 'n-Hexadecane', '11.333', ['']]","['에탄올', 'ethanol', '1.803', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['1-부탄올', '1-butanol', '0.724', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,
9,네오시스,네오시스 순면이좋은날 울트라슬림 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTEg/MDAxNjE2NDgwMjEwOTAw.-yhVX4T1YQcIF_xEP4T-7TMxygyYiAKGAmmW1NTkTYEg.ZqkK6T8g-jkLfegheg84m-EqLHooQAxdofmuP4AtTRMg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.306', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.475', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.440', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.170', ['']]","['노나날', 'Nonanal', '1.424', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '2.812', ['']]","['데카날', 'Decanal', '0.781', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '1.526', ['']]","['테트라데칸', 'Tetradecanen', '14.749', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.443', ['']]","['n-헥사데칸', 'n-Hexadecane', '18.111', ['']]",,,,,,,,,,,,,,,,,,,,,,,,
