pad_id,ingredient_id,detection
1,헥산,0.136
1,톨루엔,0.16
1,에틸벤젠,0.089
1,"(p-, m-, o-)자일렌",0.149
1,스타이렌,2.288
1,2-부타논,0.096
1,옥탄,0.216
1,노난,0.497
1,데칸,0.345
1,(R)-(+)-리모넨,1.217
1,운데칸,0.625
1,노나날,0.12
1,도데칸,1.474
1,데카날,0.273
1,트리데칸,1.964
1,테트라데칸,3.063
1,n-펜타데칸,2.806
1,n-헥사데칸,3.814
1,에탄올,0.561
1,아세톤,0.4
2,클로로포름,0.268
2,톨루엔,0.241
2,스타이렌,1.069
2,2-부타논,0.428
2,노난,0.188
2,데칸,1.47
2,(R)-(+)-리모넨,0.642
2,운데칸,1.123
2,도데칸,4.49
2,데카날,2.14
2,트리데칸,2.831
2,테트라데칸,4.383
2,n-펜타데칸,3.448
2,n-헥사데칸,7.619
2,에탄올,3.806
2,아세톤,0.716
3,헥산,0.436
3,클로로포름,0.192
3,톨루엔,0.548
3,스타이렌,2.69
3,2-부타논,0.357
3,옥탄,0.629
3,노난,0.797
3,데칸,2.551
3,(R)-(+)-리모넨,1.211
3,운데칸,2.115
3,노나날,0.249
3,도데칸,7.26
3,데카날,2.309
3,트리데칸,3.85
3,테트라데칸,8.618
3,n-펜타데칸,3.51
3,n-헥사데칸,8.843
3,에탄올,3.27
3,아세톤,0.545
3,1-부탄올,1.09
